,Unnamed: 0,code,last_modified_datetime,product_name,brands,countries,serving_size,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g
494,1306,9800120963,2017-03-09T14:51:15Z,"Rocher, Fine Hazelnut Chocolates","Ferrero,  Ferrero U.S.A.  Incorporated",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
495,1307,9800123018,2017-03-09T14:51:14Z,"Rocher, Hazelnut Chocolates","Ferrero,  Ferrero U.S.A.  Incorporated",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
496,1308,9800124015,2017-03-09T14:51:11Z,"Rocher, Fine Hazelnut Chocolates","Ferrero,  Ferrero U.S.A.  Incorporated",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
497,1309,9800126071,2017-03-09T11:30:36Z,Fine Hazelnut Chocolates,Ferrero,US,38.0,e,2423.0,42.11,13.16,0.0,0.013,44.74,39.47,2.6,7.89,0.13462,0.053,0.0,0.0,0.105,0.00189,22.0
498,1310,9800126132,2017-03-09T13:02:42Z,Rocher,Ferrero,US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
499,1311,9800145010,2017-03-09T11:15:50Z,"Raffaello, Almond Coconut Treat",Confetteria,US,30.0,e,2648.0,50.0,30.0,0.0,0.017,43.33,33.33,3.3,6.67,0.29718,0.117,0.0,0.0,0.133,0.0012,21.0
500,1312,9800146130,2017-03-09T14:54:20Z,"Raffaello, Almond Coconut Treat",Ferrero U.S.A.  Incorporated,US,30.0,e,2648.0,50.0,30.0,0.0,0.017,40.0,33.33,3.3,6.67,0.29718,0.117,0.0,0.0,0.133,0.0012,21.0
501,1313,9800200238,2017-03-09T23:29:08Z,Fine Assorted Confection Chocolates,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,20.0,0.0,0.012,47.5,37.5,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0027,20.0
502,1314,9800200252,2017-03-09T09:05:58Z,Fine Assorted Confections,Ferrero Collection,US,40.0,e,2510.0,42.5,20.0,0.0,0.012,47.5,37.5,5.0,7.5,0.1905,0.075,0.0,0.0,0.1,0.0018,20.0
503,1315,9800200269,2017-03-09T14:51:19Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.012,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
504,1316,9800200276,2017-03-09T14:51:08Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.012,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
505,1317,9800200313,2017-03-09T14:51:09Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.012,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
506,1318,9800200337,2017-03-09T14:51:19Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.012,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
507,1319,9800200344,2017-03-09T14:51:13Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.012,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
508,1320,9800200375,2017-03-09T14:51:16Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.012,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
509,1321,9800200382,2017-03-09T14:51:14Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.012,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
510,1322,9800200405,2017-03-09T14:51:13Z,Fine Assorted Congections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.012,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
511,1323,9800200412,2017-03-09T23:29:04Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,20.0,0.0,0.012,47.5,37.5,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0027,20.0
512,1324,9800200443,2017-03-09T23:29:11Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,20.0,0.0,0.012,47.5,37.5,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0027,20.0
513,1325,9800200450,2017-03-09T23:29:11Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,20.0,0.0,0.012,47.5,37.5,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0027,20.0
514,1326,9800200498,2017-03-09T23:29:08Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,20.0,0.0,0.012,47.5,37.5,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0027,20.0
515,1327,9800200504,2017-03-09T22:11:39Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,20.0,0.0,0.012,47.5,37.5,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0027,20.0
516,1328,9800200511,2017-03-09T23:29:02Z,Fine Assorted Collections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,20.0,0.0,0.012,47.5,37.5,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0027,20.0
517,1329,9800200535,2017-03-09T23:29:10Z,Fine Assorted Conefections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,20.0,0.0,0.012,47.5,37.5,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0027,20.0
518,1330,9800200580,2017-03-09T14:51:11Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.002,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
519,1331,9800200603,2017-03-09T14:51:15Z,Fine Assorted Confections,"Ferrero Collection,  Ferrero U.S.A.  Incorporated",US,40.0,e,2510.0,42.5,17.5,0.0,0.012,47.5,40.0,5.0,7.5,0.22352,0.088,0.0,0.0,0.1,0.0018,20.0
